NAME,POSTS,FOLLOWERS,FOLLOWING,Engagement_Rate
surgical_instrument,316,2004,7474,0.015985434194901338
s.hbeautyinstrument,120,406,1559,0.022516420361247947
babosurgical,1318,1640,7466,0.0009317517302638884
rocketron_surgical_,58,1492,3136,0.01320837570490894
cyrious.surgical,150,5770,997,0.02576429809358752
surgical_instrumen,21,56,135,0.0017006802721088435
